2022-05-15 23:05:664 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (e19e4be472fc81cfa4b2021016dddf16)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:689 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (e19e4be472fc81cfa4b2021016dddf16)] -> xpath: //input[@id='email']]
2022-05-15 23:05:798 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (e19e4be472fc81cfa4b2021016dddf16)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:547 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:401 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (0e2842b8e78469536117b70cb8740985)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:437 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (0e2842b8e78469536117b70cb8740985)] -> xpath: //input[@id='email']]
2022-05-15 23:05:549 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (0e2842b8e78469536117b70cb8740985)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:197 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:355 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (d014674eb04dbc856e1f175b8626f932)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:385 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (d014674eb04dbc856e1f175b8626f932)] -> xpath: //input[@id='email']]
2022-05-15 23:05:721 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (d014674eb04dbc856e1f175b8626f932)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:577 INFO  SigninPage :95 - verify signOut Link [[ChromeDriver: chrome on WINDOWS (d014674eb04dbc856e1f175b8626f932)] -> xpath: //a[@title='Log me out']]
2022-05-16 00:05:311 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 00:05:221 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (e1b27f145d5fd3923322f5953dc1a495)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 00:05:256 INFO  SigninPage :76 - verify Text [[ChromeDriver: chrome on WINDOWS (e1b27f145d5fd3923322f5953dc1a495)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-16 00:05:110 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 00:05:548 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (4eb7ecae532407a472dee3bead5de2bc)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 00:05:565 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (4eb7ecae532407a472dee3bead5de2bc)] -> xpath: //input[@id='email']]
2022-05-16 00:05:644 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (4eb7ecae532407a472dee3bead5de2bc)] -> xpath: //input[@id='passwd']]
2022-05-16 00:05:310 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 00:05:340 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (6065521073ed17c67a411a35875e3659)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 00:05:356 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (6065521073ed17c67a411a35875e3659)] -> xpath: //input[@id='email']]
2022-05-16 00:05:434 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (6065521073ed17c67a411a35875e3659)] -> xpath: //input[@id='passwd']]
2022-05-16 00:05:147 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 00:05:443 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (bbc6a2e8d9da4624388c720afaaa1db2)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 00:05:460 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (bbc6a2e8d9da4624388c720afaaa1db2)] -> xpath: //input[@id='email']]
2022-05-16 00:05:532 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (bbc6a2e8d9da4624388c720afaaa1db2)] -> xpath: //input[@id='passwd']]
2022-05-16 00:05:168 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 00:05:374 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (5851f098345b9b1dcc50fd808434a7c0)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 00:05:391 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (5851f098345b9b1dcc50fd808434a7c0)] -> xpath: //input[@id='email']]
2022-05-16 00:05:490 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (5851f098345b9b1dcc50fd808434a7c0)] -> xpath: //input[@id='passwd']]
2022-05-16 00:05:64 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 00:05:52 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (33d531bf21a813957457bbcf7c929205)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 00:05:68 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (33d531bf21a813957457bbcf7c929205)] -> xpath: //input[@id='email']]
